2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\alpha.net.agent.xml | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\alpha.domain.agent.xml | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\CommonLib.binom | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\Снимок экрана 2022-11-09 092705.png | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\Thumbs.db | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | Проверка файла X:\oipUst.spcfg | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:37:20.3569 | TRACE | В директории X:\ файл AssemblyInfo.cs не найден | VersionChanger.AssemblyInfoSearcher | 9636 | 1
2023-07-01 23:39:18.4554 | TRACE | Начинаем поиск файла AssemblyInfo.cs из директории X:\projects\_WIP\nLogViewer\nLogViewer | VersionChanger.AssemblyInfoSearcher | 11144 | 1
2023-07-01 23:39:18.4930 | TRACE | Проверка файла App.xaml | VersionChanger.AssemblyInfoSearcher | 11144 | 1
2023-07-01 23:39:18.4930 | TRACE | Проверка файла App.xaml.cs | VersionChanger.AssemblyInfoSearcher | 11144 | 1
2023-07-01 23:39:18.4930 | TRACE | Проверка файла Program.cs | VersionChanger.AssemblyInfoSearcher | 11144 | 1
2023-07-01 23:39:18.4930 | TRACE | Проверка файла nLogViewer.csproj | VersionChanger.AssemblyInfoSearcher | 11144 | 1
2023-07-01 23:39:18.4930 | TRACE | Проверка файла AssemblyInfo.cs | VersionChanger.AssemblyInfoSearcher | 11144 | 1
2023-07-01 23:39:18.4930 | TRACE | Файл AssemblyInfo.cs найден! | VersionChanger.AssemblyInfoSearcher | 11144 | 1
2023-07-01 23:39:18.4930 | TRACE | Чтение файла: X:\projects\_WIP\nLogViewer\nLogViewer\AssemblyInfo.cs | Program | 11144 | 1
2023-07-01 23:39:18.5023 | TRACE | Поиск текущей версии проекта | Program | 11144 | 1
2023-07-01 23:39:18.5023 | TRACE | Текущая версия проекта: 1.0.0.0 | Program | 11144 | 1
2023-07-01 23:39:18.5023 | TRACE | Текущая конфигурация интерпритатора: Debug | Program | 11144 | 1
2023-07-01 23:39:18.5023 | TRACE | Новая версия проекта: 1.0.701.2339 | Program | 11144 | 1
2023-07-01 23:39:18.5120 | TRACE | Запись файла: X:\projects\_WIP\nLogViewer\nLogViewer\AssemblyInfo.cs | Program | 11144 | 1
